origin_date,target,target_end_date,horizon,location,output_type,output_type_id,value
2024-04-10,ILI incidence,2024-04-07,1,AT,quantile,0.01,908.85
2024-04-10,ILI incidence,2024-04-07,1,AT,quantile,0.025,963.62
2024-04-10,ILI incidence,2024-04-07,1,AT,quantile,0.05,1064.36
2024-04-10,ILI incidence,2024-04-07,1,AT,quantile,0.1,1192.23
2024-04-10,ILI incidence,2024-04-07,1,AT,quantile,0.15,1273.89
2024-04-10,ILI incidence,2024-04-07,1,AT,quantile,0.2,1336.55
2024-04-10,ILI incidence,2024-04-07,1,AT,quantile,0.25,1394.85
2024-04-10,ILI incidence,2024-04-07,1,AT,quantile,0.3,1435.07
2024-04-10,ILI incidence,2024-04-07,1,AT,quantile,0.35,1475.22
2024-04-10,ILI incidence,2024-04-07,1,AT,quantile,0.4,1510.52
2024-04-10,ILI incidence,2024-04-07,1,AT,quantile,0.45,1555.6
2024-04-10,ILI incidence,2024-04-07,1,AT,quantile,0.5,1583.96
2024-04-10,ILI incidence,2024-04-07,1,AT,quantile,0.55,1625.75
2024-04-10,ILI incidence,2024-04-07,1,AT,quantile,0.6,1679.9
2024-04-10,ILI incidence,2024-04-07,1,AT,quantile,0.65,1730.41
2024-04-10,ILI incidence,2024-04-07,1,AT,quantile,0.7,1763.98
2024-04-10,ILI incidence,2024-04-07,1,AT,quantile,0.75,1802.71
2024-04-10,ILI incidence,2024-04-07,1,AT,quantile,0.8,1861.34
2024-04-10,ILI incidence,2024-04-07,1,AT,quantile,0.85,1923.14
2024-04-10,ILI incidence,2024-04-07,1,AT,quantile,0.9,1999.48
2024-04-10,ILI incidence,2024-04-07,1,AT,quantile,0.95,2125.27
2024-04-10,ILI incidence,2024-04-07,1,AT,quantile,0.975,2329.24
2024-04-10,ILI incidence,2024-04-07,1,AT,quantile,0.99,2611
2024-04-10,ILI incidence,2024-04-07,1,AT,median,NA,1583.96
2024-04-10,ILI incidence,2024-04-14,2,AT,quantile,0.01,584.62
2024-04-10,ILI incidence,2024-04-14,2,AT,quantile,0.025,699.81
2024-04-10,ILI incidence,2024-04-14,2,AT,quantile,0.05,869.53
2024-04-10,ILI incidence,2024-04-14,2,AT,quantile,0.1,1074.93
2024-04-10,ILI incidence,2024-04-14,2,AT,quantile,0.15,1164.14
2024-04-10,ILI incidence,2024-04-14,2,AT,quantile,0.2,1262.19
2024-04-10,ILI incidence,2024-04-14,2,AT,quantile,0.25,1317.19
2024-04-10,ILI incidence,2024-04-14,2,AT,quantile,0.3,1354.66
2024-04-10,ILI incidence,2024-04-14,2,AT,quantile,0.35,1420.75
2024-04-10,ILI incidence,2024-04-14,2,AT,quantile,0.4,1476.62
2024-04-10,ILI incidence,2024-04-14,2,AT,quantile,0.45,1535.15
2024-04-10,ILI incidence,2024-04-14,2,AT,quantile,0.5,1591.99
2024-04-10,ILI incidence,2024-04-14,2,AT,quantile,0.55,1627.27
2024-04-10,ILI incidence,2024-04-14,2,AT,quantile,0.6,1705.94
2024-04-10,ILI incidence,2024-04-14,2,AT,quantile,0.65,1762.7
2024-04-10,ILI incidence,2024-04-14,2,AT,quantile,0.7,1820.64
2024-04-10,ILI incidence,2024-04-14,2,AT,quantile,0.75,1901.05
2024-04-10,ILI incidence,2024-04-14,2,AT,quantile,0.8,1980.64
2024-04-10,ILI incidence,2024-04-14,2,AT,quantile,0.85,2091.38
2024-04-10,ILI incidence,2024-04-14,2,AT,quantile,0.9,2240.25
2024-04-10,ILI incidence,2024-04-14,2,AT,quantile,0.95,2477.81
2024-04-10,ILI incidence,2024-04-14,2,AT,quantile,0.975,2668.41
2024-04-10,ILI incidence,2024-04-14,2,AT,quantile,0.99,2998.49
2024-04-10,ILI incidence,2024-04-14,2,AT,median,NA,1591.99
2024-04-10,ILI incidence,2024-04-21,3,AT,quantile,0.01,484.06
2024-04-10,ILI incidence,2024-04-21,3,AT,quantile,0.025,634.31
2024-04-10,ILI incidence,2024-04-21,3,AT,quantile,0.05,808.86
2024-04-10,ILI incidence,2024-04-21,3,AT,quantile,0.1,937.32
2024-04-10,ILI incidence,2024-04-21,3,AT,quantile,0.15,1042.83
2024-04-10,ILI incidence,2024-04-21,3,AT,quantile,0.2,1112.6
2024-04-10,ILI incidence,2024-04-21,3,AT,quantile,0.25,1214.81
2024-04-10,ILI incidence,2024-04-21,3,AT,quantile,0.3,1274.76
2024-04-10,ILI incidence,2024-04-21,3,AT,quantile,0.35,1328.82
2024-04-10,ILI incidence,2024-04-21,3,AT,quantile,0.4,1399.83
2024-04-10,ILI incidence,2024-04-21,3,AT,quantile,0.45,1457.48
2024-04-10,ILI incidence,2024-04-21,3,AT,quantile,0.5,1553.12
2024-04-10,ILI incidence,2024-04-21,3,AT,quantile,0.55,1608.48
2024-04-10,ILI incidence,2024-04-21,3,AT,quantile,0.6,1685.36
2024-04-10,ILI incidence,2024-04-21,3,AT,quantile,0.65,1759.55
2024-04-10,ILI incidence,2024-04-21,3,AT,quantile,0.7,1873.55
2024-04-10,ILI incidence,2024-04-21,3,AT,quantile,0.75,1961.39
2024-04-10,ILI incidence,2024-04-21,3,AT,quantile,0.8,2044.12
2024-04-10,ILI incidence,2024-04-21,3,AT,quantile,0.85,2144.66
2024-04-10,ILI incidence,2024-04-21,3,AT,quantile,0.9,2263.91
2024-04-10,ILI incidence,2024-04-21,3,AT,quantile,0.95,2605.09
2024-04-10,ILI incidence,2024-04-21,3,AT,quantile,0.975,2867.49
2024-04-10,ILI incidence,2024-04-21,3,AT,quantile,0.99,3053.98
2024-04-10,ILI incidence,2024-04-21,3,AT,median,NA,1553.12
2024-04-10,ILI incidence,2024-04-28,4,AT,quantile,0.01,370.16
2024-04-10,ILI incidence,2024-04-28,4,AT,quantile,0.025,540.15
2024-04-10,ILI incidence,2024-04-28,4,AT,quantile,0.05,693.4
2024-04-10,ILI incidence,2024-04-28,4,AT,quantile,0.1,869.61
2024-04-10,ILI incidence,2024-04-28,4,AT,quantile,0.15,961.73
2024-04-10,ILI incidence,2024-04-28,4,AT,quantile,0.2,1014.91
2024-04-10,ILI incidence,2024-04-28,4,AT,quantile,0.25,1108.55
2024-04-10,ILI incidence,2024-04-28,4,AT,quantile,0.3,1192.88
2024-04-10,ILI incidence,2024-04-28,4,AT,quantile,0.35,1262.8
2024-04-10,ILI incidence,2024-04-28,4,AT,quantile,0.4,1343.96
2024-04-10,ILI incidence,2024-04-28,4,AT,quantile,0.45,1435.2
2024-04-10,ILI incidence,2024-04-28,4,AT,quantile,0.5,1518.7
2024-04-10,ILI incidence,2024-04-28,4,AT,quantile,0.55,1582.14
2024-04-10,ILI incidence,2024-04-28,4,AT,quantile,0.6,1657.66
2024-04-10,ILI incidence,2024-04-28,4,AT,quantile,0.65,1751.34
2024-04-10,ILI incidence,2024-04-28,4,AT,quantile,0.7,1832.89
2024-04-10,ILI incidence,2024-04-28,4,AT,quantile,0.75,1970.98
2024-04-10,ILI incidence,2024-04-28,4,AT,quantile,0.8,2102.89
2024-04-10,ILI incidence,2024-04-28,4,AT,quantile,0.85,2250.24
2024-04-10,ILI incidence,2024-04-28,4,AT,quantile,0.9,2397.18
2024-04-10,ILI incidence,2024-04-28,4,AT,quantile,0.95,2687.19
2024-04-10,ILI incidence,2024-04-28,4,AT,quantile,0.975,3019.46
2024-04-10,ILI incidence,2024-04-28,4,AT,quantile,0.99,3269.87
2024-04-10,ILI incidence,2024-04-28,4,AT,median,NA,1518.7
2024-04-10,ILI incidence,2024-04-07,1,BE,quantile,0.01,11.99
2024-04-10,ILI incidence,2024-04-07,1,BE,quantile,0.025,18.96
2024-04-10,ILI incidence,2024-04-07,1,BE,quantile,0.05,27.37
2024-04-10,ILI incidence,2024-04-07,1,BE,quantile,0.1,46.69
2024-04-10,ILI incidence,2024-04-07,1,BE,quantile,0.15,62.45
2024-04-10,ILI incidence,2024-04-07,1,BE,quantile,0.2,69.19
2024-04-10,ILI incidence,2024-04-07,1,BE,quantile,0.25,76.33
2024-04-10,ILI incidence,2024-04-07,1,BE,quantile,0.3,82.45
2024-04-10,ILI incidence,2024-04-07,1,BE,quantile,0.35,88.79
2024-04-10,ILI incidence,2024-04-07,1,BE,quantile,0.4,95.3
2024-04-10,ILI incidence,2024-04-07,1,BE,quantile,0.45,102.12
2024-04-10,ILI incidence,2024-04-07,1,BE,quantile,0.5,107.66
2024-04-10,ILI incidence,2024-04-07,1,BE,quantile,0.55,114.99
2024-04-10,ILI incidence,2024-04-07,1,BE,quantile,0.6,121.89
2024-04-10,ILI incidence,2024-04-07,1,BE,quantile,0.65,128.95
2024-04-10,ILI incidence,2024-04-07,1,BE,quantile,0.7,136.6
2024-04-10,ILI incidence,2024-04-07,1,BE,quantile,0.75,143.47
2024-04-10,ILI incidence,2024-04-07,1,BE,quantile,0.8,152.22
2024-04-10,ILI incidence,2024-04-07,1,BE,quantile,0.85,163.23
2024-04-10,ILI incidence,2024-04-07,1,BE,quantile,0.9,176.32
2024-04-10,ILI incidence,2024-04-07,1,BE,quantile,0.95,195.2
2024-04-10,ILI incidence,2024-04-07,1,BE,quantile,0.975,213.9
2024-04-10,ILI incidence,2024-04-07,1,BE,quantile,0.99,239.27
2024-04-10,ILI incidence,2024-04-07,1,BE,median,NA,107.66
2024-04-10,ILI incidence,2024-04-14,2,BE,quantile,0.01,7.78
2024-04-10,ILI incidence,2024-04-14,2,BE,quantile,0.025,10.55
2024-04-10,ILI incidence,2024-04-14,2,BE,quantile,0.05,19.9
2024-04-10,ILI incidence,2024-04-14,2,BE,quantile,0.1,39.56
2024-04-10,ILI incidence,2024-04-14,2,BE,quantile,0.15,48.33
2024-04-10,ILI incidence,2024-04-14,2,BE,quantile,0.2,61.87
2024-04-10,ILI incidence,2024-04-14,2,BE,quantile,0.25,70.19
2024-04-10,ILI incidence,2024-04-14,2,BE,quantile,0.3,78.83
2024-04-10,ILI incidence,2024-04-14,2,BE,quantile,0.35,88.32
2024-04-10,ILI incidence,2024-04-14,2,BE,quantile,0.4,96.22
2024-04-10,ILI incidence,2024-04-14,2,BE,quantile,0.45,106.14
2024-04-10,ILI incidence,2024-04-14,2,BE,quantile,0.5,114.01
2024-04-10,ILI incidence,2024-04-14,2,BE,quantile,0.55,121.11
2024-04-10,ILI incidence,2024-04-14,2,BE,quantile,0.6,131.2
2024-04-10,ILI incidence,2024-04-14,2,BE,quantile,0.65,138.4
2024-04-10,ILI incidence,2024-04-14,2,BE,quantile,0.7,146.9
2024-04-10,ILI incidence,2024-04-14,2,BE,quantile,0.75,156.74
2024-04-10,ILI incidence,2024-04-14,2,BE,quantile,0.8,167.17
2024-04-10,ILI incidence,2024-04-14,2,BE,quantile,0.85,181.69
2024-04-10,ILI incidence,2024-04-14,2,BE,quantile,0.9,204.79
2024-04-10,ILI incidence,2024-04-14,2,BE,quantile,0.95,231.95
2024-04-10,ILI incidence,2024-04-14,2,BE,quantile,0.975,260.72
2024-04-10,ILI incidence,2024-04-14,2,BE,quantile,0.99,305.6
2024-04-10,ILI incidence,2024-04-14,2,BE,median,NA,114.01
2024-04-10,ILI incidence,2024-04-21,3,BE,quantile,0.01,14.18
2024-04-10,ILI incidence,2024-04-21,3,BE,quantile,0.025,15.79
2024-04-10,ILI incidence,2024-04-21,3,BE,quantile,0.05,22.02
2024-04-10,ILI incidence,2024-04-21,3,BE,quantile,0.1,23.45
2024-04-10,ILI incidence,2024-04-21,3,BE,quantile,0.15,26.37
2024-04-10,ILI incidence,2024-04-21,3,BE,quantile,0.2,37.58
2024-04-10,ILI incidence,2024-04-21,3,BE,quantile,0.25,52.44
2024-04-10,ILI incidence,2024-04-21,3,BE,quantile,0.3,64.95
2024-04-10,ILI incidence,2024-04-21,3,BE,quantile,0.35,75.85
2024-04-10,ILI incidence,2024-04-21,3,BE,quantile,0.4,87.18
2024-04-10,ILI incidence,2024-04-21,3,BE,quantile,0.45,102.95
2024-04-10,ILI incidence,2024-04-21,3,BE,quantile,0.5,114.65
2024-04-10,ILI incidence,2024-04-21,3,BE,quantile,0.55,124.14
2024-04-10,ILI incidence,2024-04-21,3,BE,quantile,0.6,135.94
2024-04-10,ILI incidence,2024-04-21,3,BE,quantile,0.65,148.25
2024-04-10,ILI incidence,2024-04-21,3,BE,quantile,0.7,165.84
2024-04-10,ILI incidence,2024-04-21,3,BE,quantile,0.75,183.92
2024-04-10,ILI incidence,2024-04-21,3,BE,quantile,0.8,199.02
2024-04-10,ILI incidence,2024-04-21,3,BE,quantile,0.85,217.2
2024-04-10,ILI incidence,2024-04-21,3,BE,quantile,0.9,236.02
2024-04-10,ILI incidence,2024-04-21,3,BE,quantile,0.95,286.12
2024-04-10,ILI incidence,2024-04-21,3,BE,quantile,0.975,337.48
2024-04-10,ILI incidence,2024-04-21,3,BE,quantile,0.99,372.18
2024-04-10,ILI incidence,2024-04-21,3,BE,median,NA,114.65
2024-04-10,ILI incidence,2024-04-28,4,BE,quantile,0.01,13.31
2024-04-10,ILI incidence,2024-04-28,4,BE,quantile,0.025,13.39
2024-04-10,ILI incidence,2024-04-28,4,BE,quantile,0.05,18.61
2024-04-10,ILI incidence,2024-04-28,4,BE,quantile,0.1,21.38
2024-04-10,ILI incidence,2024-04-28,4,BE,quantile,0.15,22.63
2024-04-10,ILI incidence,2024-04-28,4,BE,quantile,0.2,24.74
2024-04-10,ILI incidence,2024-04-28,4,BE,quantile,0.25,40.26
2024-04-10,ILI incidence,2024-04-28,4,BE,quantile,0.3,57.62
2024-04-10,ILI incidence,2024-04-28,4,BE,quantile,0.35,72.4
2024-04-10,ILI incidence,2024-04-28,4,BE,quantile,0.4,86.76
2024-04-10,ILI incidence,2024-04-28,4,BE,quantile,0.45,100.1
2024-04-10,ILI incidence,2024-04-28,4,BE,quantile,0.5,111.71
2024-04-10,ILI incidence,2024-04-28,4,BE,quantile,0.55,123.31
2024-04-10,ILI incidence,2024-04-28,4,BE,quantile,0.6,137.91
2024-04-10,ILI incidence,2024-04-28,4,BE,quantile,0.65,153.57
2024-04-10,ILI incidence,2024-04-28,4,BE,quantile,0.7,165.37
2024-04-10,ILI incidence,2024-04-28,4,BE,quantile,0.75,186.68
2024-04-10,ILI incidence,2024-04-28,4,BE,quantile,0.8,209.65
2024-04-10,ILI incidence,2024-04-28,4,BE,quantile,0.85,234.77
2024-04-10,ILI incidence,2024-04-28,4,BE,quantile,0.9,264.26
2024-04-10,ILI incidence,2024-04-28,4,BE,quantile,0.95,311.86
2024-04-10,ILI incidence,2024-04-28,4,BE,quantile,0.975,364.91
2024-04-10,ILI incidence,2024-04-28,4,BE,quantile,0.99,403.38
2024-04-10,ILI incidence,2024-04-28,4,BE,median,NA,111.71
2024-04-10,ILI incidence,2024-04-07,1,CZ,quantile,0.01,5.71
2024-04-10,ILI incidence,2024-04-07,1,CZ,quantile,0.025,6.5
2024-04-10,ILI incidence,2024-04-07,1,CZ,quantile,0.05,8.2
2024-04-10,ILI incidence,2024-04-07,1,CZ,quantile,0.1,10.56
2024-04-10,ILI incidence,2024-04-07,1,CZ,quantile,0.15,13.27
2024-04-10,ILI incidence,2024-04-07,1,CZ,quantile,0.2,15.7
2024-04-10,ILI incidence,2024-04-07,1,CZ,quantile,0.25,17.27
2024-04-10,ILI incidence,2024-04-07,1,CZ,quantile,0.3,18.39
2024-04-10,ILI incidence,2024-04-07,1,CZ,quantile,0.35,19.68
2024-04-10,ILI incidence,2024-04-07,1,CZ,quantile,0.4,20.82
2024-04-10,ILI incidence,2024-04-07,1,CZ,quantile,0.45,22.12
2024-04-10,ILI incidence,2024-04-07,1,CZ,quantile,0.5,23.33
2024-04-10,ILI incidence,2024-04-07,1,CZ,quantile,0.55,24.81
2024-04-10,ILI incidence,2024-04-07,1,CZ,quantile,0.6,26.49
2024-04-10,ILI incidence,2024-04-07,1,CZ,quantile,0.65,27.81
2024-04-10,ILI incidence,2024-04-07,1,CZ,quantile,0.7,29.02
2024-04-10,ILI incidence,2024-04-07,1,CZ,quantile,0.75,30.61
2024-04-10,ILI incidence,2024-04-07,1,CZ,quantile,0.8,32.8
2024-04-10,ILI incidence,2024-04-07,1,CZ,quantile,0.85,34.54
2024-04-10,ILI incidence,2024-04-07,1,CZ,quantile,0.9,37.06
2024-04-10,ILI incidence,2024-04-07,1,CZ,quantile,0.95,42.4
2024-04-10,ILI incidence,2024-04-07,1,CZ,quantile,0.975,47.7
2024-04-10,ILI incidence,2024-04-07,1,CZ,quantile,0.99,56.05
2024-04-10,ILI incidence,2024-04-07,1,CZ,median,NA,23.33
2024-04-10,ILI incidence,2024-04-14,2,CZ,quantile,0.01,0.51
2024-04-10,ILI incidence,2024-04-14,2,CZ,quantile,0.025,1.18
2024-04-10,ILI incidence,2024-04-14,2,CZ,quantile,0.05,4.06
2024-04-10,ILI incidence,2024-04-14,2,CZ,quantile,0.1,7.96
2024-04-10,ILI incidence,2024-04-14,2,CZ,quantile,0.15,9.2
2024-04-10,ILI incidence,2024-04-14,2,CZ,quantile,0.2,11.39
2024-04-10,ILI incidence,2024-04-14,2,CZ,quantile,0.25,13.31
2024-04-10,ILI incidence,2024-04-14,2,CZ,quantile,0.3,15.36
2024-04-10,ILI incidence,2024-04-14,2,CZ,quantile,0.35,17.15
2024-04-10,ILI incidence,2024-04-14,2,CZ,quantile,0.4,18.97
2024-04-10,ILI incidence,2024-04-14,2,CZ,quantile,0.45,21
2024-04-10,ILI incidence,2024-04-14,2,CZ,quantile,0.5,22.56
2024-04-10,ILI incidence,2024-04-14,2,CZ,quantile,0.55,24.42
2024-04-10,ILI incidence,2024-04-14,2,CZ,quantile,0.6,26.11
2024-04-10,ILI incidence,2024-04-14,2,CZ,quantile,0.65,28.47
2024-04-10,ILI incidence,2024-04-14,2,CZ,quantile,0.7,30.95
2024-04-10,ILI incidence,2024-04-14,2,CZ,quantile,0.75,33.52
2024-04-10,ILI incidence,2024-04-14,2,CZ,quantile,0.8,36.59
2024-04-10,ILI incidence,2024-04-14,2,CZ,quantile,0.85,40.06
2024-04-10,ILI incidence,2024-04-14,2,CZ,quantile,0.9,44.41
2024-04-10,ILI incidence,2024-04-14,2,CZ,quantile,0.95,51.82
2024-04-10,ILI incidence,2024-04-14,2,CZ,quantile,0.975,59.4
2024-04-10,ILI incidence,2024-04-14,2,CZ,quantile,0.99,73.32
2024-04-10,ILI incidence,2024-04-14,2,CZ,median,NA,22.56
2024-04-10,ILI incidence,2024-04-21,3,CZ,quantile,0.01,1.99
2024-04-10,ILI incidence,2024-04-21,3,CZ,quantile,0.025,2.45
2024-04-10,ILI incidence,2024-04-21,3,CZ,quantile,0.05,4.36
2024-04-10,ILI incidence,2024-04-21,3,CZ,quantile,0.1,5.64
2024-04-10,ILI incidence,2024-04-21,3,CZ,quantile,0.15,6.51
2024-04-10,ILI incidence,2024-04-21,3,CZ,quantile,0.2,7.66
2024-04-10,ILI incidence,2024-04-21,3,CZ,quantile,0.25,10.26
2024-04-10,ILI incidence,2024-04-21,3,CZ,quantile,0.3,12.64
2024-04-10,ILI incidence,2024-04-21,3,CZ,quantile,0.35,14.13
2024-04-10,ILI incidence,2024-04-21,3,CZ,quantile,0.4,16.37
2024-04-10,ILI incidence,2024-04-21,3,CZ,quantile,0.45,18.28
2024-04-10,ILI incidence,2024-04-21,3,CZ,quantile,0.5,21.22
2024-04-10,ILI incidence,2024-04-21,3,CZ,quantile,0.55,23.55
2024-04-10,ILI incidence,2024-04-21,3,CZ,quantile,0.6,26.04
2024-04-10,ILI incidence,2024-04-21,3,CZ,quantile,0.65,28.85
2024-04-10,ILI incidence,2024-04-21,3,CZ,quantile,0.7,31.75
2024-04-10,ILI incidence,2024-04-21,3,CZ,quantile,0.75,35.46
2024-04-10,ILI incidence,2024-04-21,3,CZ,quantile,0.8,39.59
2024-04-10,ILI incidence,2024-04-21,3,CZ,quantile,0.85,43.81
2024-04-10,ILI incidence,2024-04-21,3,CZ,quantile,0.9,49.42
2024-04-10,ILI incidence,2024-04-21,3,CZ,quantile,0.95,59.85
2024-04-10,ILI incidence,2024-04-21,3,CZ,quantile,0.975,70.87
2024-04-10,ILI incidence,2024-04-21,3,CZ,quantile,0.99,83.27
2024-04-10,ILI incidence,2024-04-21,3,CZ,median,NA,21.22
2024-04-10,ILI incidence,2024-04-28,4,CZ,quantile,0.01,1.86
2024-04-10,ILI incidence,2024-04-28,4,CZ,quantile,0.025,1.91
2024-04-10,ILI incidence,2024-04-28,4,CZ,quantile,0.05,3.09
2024-04-10,ILI incidence,2024-04-28,4,CZ,quantile,0.1,4.45
2024-04-10,ILI incidence,2024-04-28,4,CZ,quantile,0.15,5.25
2024-04-10,ILI incidence,2024-04-28,4,CZ,quantile,0.2,5.93
2024-04-10,ILI incidence,2024-04-28,4,CZ,quantile,0.25,7.09
2024-04-10,ILI incidence,2024-04-28,4,CZ,quantile,0.3,8.81
2024-04-10,ILI incidence,2024-04-28,4,CZ,quantile,0.35,11.34
2024-04-10,ILI incidence,2024-04-28,4,CZ,quantile,0.4,13.98
2024-04-10,ILI incidence,2024-04-28,4,CZ,quantile,0.45,16.37
2024-04-10,ILI incidence,2024-04-28,4,CZ,quantile,0.5,19.17
2024-04-10,ILI incidence,2024-04-28,4,CZ,quantile,0.55,22.29
2024-04-10,ILI incidence,2024-04-28,4,CZ,quantile,0.6,25.38
2024-04-10,ILI incidence,2024-04-28,4,CZ,quantile,0.65,28.61
2024-04-10,ILI incidence,2024-04-28,4,CZ,quantile,0.7,31.58
2024-04-10,ILI incidence,2024-04-28,4,CZ,quantile,0.75,35.43
2024-04-10,ILI incidence,2024-04-28,4,CZ,quantile,0.8,39.98
2024-04-10,ILI incidence,2024-04-28,4,CZ,quantile,0.85,45.27
2024-04-10,ILI incidence,2024-04-28,4,CZ,quantile,0.9,52.36
2024-04-10,ILI incidence,2024-04-28,4,CZ,quantile,0.95,65.88
2024-04-10,ILI incidence,2024-04-28,4,CZ,quantile,0.975,80.77
2024-04-10,ILI incidence,2024-04-28,4,CZ,quantile,0.99,95.73
2024-04-10,ILI incidence,2024-04-28,4,CZ,median,NA,19.17
2024-04-10,ILI incidence,2024-04-07,1,DK,quantile,0.01,93.87
2024-04-10,ILI incidence,2024-04-07,1,DK,quantile,0.025,101.77
2024-04-10,ILI incidence,2024-04-07,1,DK,quantile,0.05,108.99
2024-04-10,ILI incidence,2024-04-07,1,DK,quantile,0.1,119.11
2024-04-10,ILI incidence,2024-04-07,1,DK,quantile,0.15,129.13
2024-04-10,ILI incidence,2024-04-07,1,DK,quantile,0.2,135.53
2024-04-10,ILI incidence,2024-04-07,1,DK,quantile,0.25,140.68
2024-04-10,ILI incidence,2024-04-07,1,DK,quantile,0.3,143.93
2024-04-10,ILI incidence,2024-04-07,1,DK,quantile,0.35,146.95
2024-04-10,ILI incidence,2024-04-07,1,DK,quantile,0.4,150.93
2024-04-10,ILI incidence,2024-04-07,1,DK,quantile,0.45,154.43
2024-04-10,ILI incidence,2024-04-07,1,DK,quantile,0.5,157.41
2024-04-10,ILI incidence,2024-04-07,1,DK,quantile,0.55,161.3
2024-04-10,ILI incidence,2024-04-07,1,DK,quantile,0.6,165.88
2024-04-10,ILI incidence,2024-04-07,1,DK,quantile,0.65,170.56
2024-04-10,ILI incidence,2024-04-07,1,DK,quantile,0.7,173.99
2024-04-10,ILI incidence,2024-04-07,1,DK,quantile,0.75,177.19
2024-04-10,ILI incidence,2024-04-07,1,DK,quantile,0.8,184.41
2024-04-10,ILI incidence,2024-04-07,1,DK,quantile,0.85,191.11
2024-04-10,ILI incidence,2024-04-07,1,DK,quantile,0.9,197.78
2024-04-10,ILI incidence,2024-04-07,1,DK,quantile,0.95,210.89
2024-04-10,ILI incidence,2024-04-07,1,DK,quantile,0.975,235.65
2024-04-10,ILI incidence,2024-04-07,1,DK,quantile,0.99,278
2024-04-10,ILI incidence,2024-04-07,1,DK,median,NA,157.41
2024-04-10,ILI incidence,2024-04-14,2,DK,quantile,0.01,65.55
2024-04-10,ILI incidence,2024-04-14,2,DK,quantile,0.025,81.07
2024-04-10,ILI incidence,2024-04-14,2,DK,quantile,0.05,97.73
2024-04-10,ILI incidence,2024-04-14,2,DK,quantile,0.1,115.05
2024-04-10,ILI incidence,2024-04-14,2,DK,quantile,0.15,122.13
2024-04-10,ILI incidence,2024-04-14,2,DK,quantile,0.2,130.15
2024-04-10,ILI incidence,2024-04-14,2,DK,quantile,0.25,136.39
2024-04-10,ILI incidence,2024-04-14,2,DK,quantile,0.3,139.74
2024-04-10,ILI incidence,2024-04-14,2,DK,quantile,0.35,145.66
2024-04-10,ILI incidence,2024-04-14,2,DK,quantile,0.4,149.6
2024-04-10,ILI incidence,2024-04-14,2,DK,quantile,0.45,153.98
2024-04-10,ILI incidence,2024-04-14,2,DK,quantile,0.5,158.92
2024-04-10,ILI incidence,2024-04-14,2,DK,quantile,0.55,163.28
2024-04-10,ILI incidence,2024-04-14,2,DK,quantile,0.6,170.65
2024-04-10,ILI incidence,2024-04-14,2,DK,quantile,0.65,174.56
2024-04-10,ILI incidence,2024-04-14,2,DK,quantile,0.7,180.4
2024-04-10,ILI incidence,2024-04-14,2,DK,quantile,0.75,187.48
2024-04-10,ILI incidence,2024-04-14,2,DK,quantile,0.8,193.64
2024-04-10,ILI incidence,2024-04-14,2,DK,quantile,0.85,202.3
2024-04-10,ILI incidence,2024-04-14,2,DK,quantile,0.9,214.84
2024-04-10,ILI incidence,2024-04-14,2,DK,quantile,0.95,233.57
2024-04-10,ILI incidence,2024-04-14,2,DK,quantile,0.975,246.52
2024-04-10,ILI incidence,2024-04-14,2,DK,quantile,0.99,279.13
2024-04-10,ILI incidence,2024-04-14,2,DK,median,NA,158.92
2024-04-10,ILI incidence,2024-04-21,3,DK,quantile,0.01,70.23
2024-04-10,ILI incidence,2024-04-21,3,DK,quantile,0.025,81.4
2024-04-10,ILI incidence,2024-04-21,3,DK,quantile,0.05,96.37
2024-04-10,ILI incidence,2024-04-21,3,DK,quantile,0.1,107.12
2024-04-10,ILI incidence,2024-04-21,3,DK,quantile,0.15,115.09
2024-04-10,ILI incidence,2024-04-21,3,DK,quantile,0.2,121.99
2024-04-10,ILI incidence,2024-04-21,3,DK,quantile,0.25,131.12
2024-04-10,ILI incidence,2024-04-21,3,DK,quantile,0.3,136.53
2024-04-10,ILI incidence,2024-04-21,3,DK,quantile,0.35,140.99
2024-04-10,ILI incidence,2024-04-21,3,DK,quantile,0.4,146.91
2024-04-10,ILI incidence,2024-04-21,3,DK,quantile,0.45,152.32
2024-04-10,ILI incidence,2024-04-21,3,DK,quantile,0.5,160.59
2024-04-10,ILI incidence,2024-04-21,3,DK,quantile,0.55,164.98
2024-04-10,ILI incidence,2024-04-21,3,DK,quantile,0.6,172.4
2024-04-10,ILI incidence,2024-04-21,3,DK,quantile,0.65,178.8
2024-04-10,ILI incidence,2024-04-21,3,DK,quantile,0.7,187.85
2024-04-10,ILI incidence,2024-04-21,3,DK,quantile,0.75,197.22
2024-04-10,ILI incidence,2024-04-21,3,DK,quantile,0.8,205.06
2024-04-10,ILI incidence,2024-04-21,3,DK,quantile,0.85,213.59
2024-04-10,ILI incidence,2024-04-21,3,DK,quantile,0.9,224.38
2024-04-10,ILI incidence,2024-04-21,3,DK,quantile,0.95,257.87
2024-04-10,ILI incidence,2024-04-21,3,DK,quantile,0.975,284.1
2024-04-10,ILI incidence,2024-04-21,3,DK,quantile,0.99,302
2024-04-10,ILI incidence,2024-04-21,3,DK,median,NA,160.59
2024-04-10,ILI incidence,2024-04-28,4,DK,quantile,0.01,63.94
2024-04-10,ILI incidence,2024-04-28,4,DK,quantile,0.025,76.4
2024-04-10,ILI incidence,2024-04-28,4,DK,quantile,0.05,90.75
2024-04-10,ILI incidence,2024-04-28,4,DK,quantile,0.1,105.42
