origin_date,target_end_date,target,location,output_type,output_type_id,horizon,value
2024-02-21,2024-02-18,ILI incidence,HR,quantile,0.01,1,19.724694154559735
2024-02-21,2024-02-18,ILI incidence,HR,quantile,0.025,1,27.60619771884657
2024-02-21,2024-02-18,ILI incidence,HR,quantile,0.05,1,35.33807586390515
2024-02-21,2024-02-18,ILI incidence,HR,quantile,0.1,1,44.274346272381315
2024-02-21,2024-02-18,ILI incidence,HR,quantile,0.15,1,50.90404540337166
2024-02-21,2024-02-18,ILI incidence,HR,quantile,0.2,1,56.12369428731381
2024-02-21,2024-02-18,ILI incidence,HR,quantile,0.25,1,60.09338596535735
2024-02-21,2024-02-18,ILI incidence,HR,quantile,0.3,1,63.55816882131376
2024-02-21,2024-02-18,ILI incidence,HR,quantile,0.35,1,66.503265036
2024-02-21,2024-02-18,ILI incidence,HR,quantile,0.4,1,68.83508175459018
2024-02-21,2024-02-18,ILI incidence,HR,quantile,0.45,1,71.464302084239
2024-02-21,2024-02-18,ILI incidence,HR,quantile,0.5,1,96.38832562136419
2024-02-21,2024-02-18,ILI incidence,HR,quantile,0.55,1,130.518314767056
2024-02-21,2024-02-18,ILI incidence,HR,quantile,0.6,1,134.31067261490307
2024-02-21,2024-02-18,ILI incidence,HR,quantile,0.65,1,141.44097037071884
2024-02-21,2024-02-18,ILI incidence,HR,quantile,0.7,1,148.87667638965073
2024-02-21,2024-02-18,ILI incidence,HR,quantile,0.75,1,159.18789972461533
2024-02-21,2024-02-18,ILI incidence,HR,quantile,0.8,1,171.8734260083214
2024-02-21,2024-02-18,ILI incidence,HR,quantile,0.85,1,189.37713708816372
2024-02-21,2024-02-18,ILI incidence,HR,quantile,0.9,1,214.41999892121922
2024-02-21,2024-02-18,ILI incidence,HR,quantile,0.95,1,248.3246263243697
2024-02-21,2024-02-18,ILI incidence,HR,quantile,0.975,1,284.6057117748925
2024-02-21,2024-02-18,ILI incidence,HR,quantile,0.99,1,343.9613766917832
2024-02-21,2024-02-25,ILI incidence,HR,quantile,0.01,2,18.146546214304486
2024-02-21,2024-02-25,ILI incidence,HR,quantile,0.025,2,25.068415145392805
2024-02-21,2024-02-25,ILI incidence,HR,quantile,0.05,2,31.0783694843945
2024-02-21,2024-02-25,ILI incidence,HR,quantile,0.1,2,42.30520186624153
2024-02-21,2024-02-25,ILI incidence,HR,quantile,0.15,2,47.00516410891351
2024-02-21,2024-02-25,ILI incidence,HR,quantile,0.2,2,51.61645943648727
2024-02-21,2024-02-25,ILI incidence,HR,quantile,0.25,2,56.69756626558844
2024-02-21,2024-02-25,ILI incidence,HR,quantile,0.3,2,60.2491688092452
2024-02-21,2024-02-25,ILI incidence,HR,quantile,0.35,2,63.12899632253969
2024-02-21,2024-02-25,ILI incidence,HR,quantile,0.4,2,66.81544646624167
2024-02-21,2024-02-25,ILI incidence,HR,quantile,0.45,2,70.26853021534484
2024-02-21,2024-02-25,ILI incidence,HR,quantile,0.5,2,102.85362151394324
2024-02-21,2024-02-25,ILI incidence,HR,quantile,0.55,2,158.82338018476705
2024-02-21,2024-02-25,ILI incidence,HR,quantile,0.6,2,168.792250708658
2024-02-21,2024-02-25,ILI incidence,HR,quantile,0.65,2,177.53517798282277
2024-02-21,2024-02-25,ILI incidence,HR,quantile,0.7,2,189.99103232672576
2024-02-21,2024-02-25,ILI incidence,HR,quantile,0.75,2,204.2971927808383
2024-02-21,2024-02-25,ILI incidence,HR,quantile,0.8,2,220.69934058907836
2024-02-21,2024-02-25,ILI incidence,HR,quantile,0.85,2,245.31734012062148
2024-02-21,2024-02-25,ILI incidence,HR,quantile,0.9,2,280.58152688861145
2024-02-21,2024-02-25,ILI incidence,HR,quantile,0.95,2,355.7784598014994
2024-02-21,2024-02-25,ILI incidence,HR,quantile,0.975,2,440.73521867108497
2024-02-21,2024-02-25,ILI incidence,HR,quantile,0.99,2,544.494166332729
2024-02-21,2024-03-03,ILI incidence,HR,quantile,0.01,3,14.184859188318429
2024-02-21,2024-03-03,ILI incidence,HR,quantile,0.025,3,19.554441362721818
2024-02-21,2024-03-03,ILI incidence,HR,quantile,0.05,3,26.24479112660921
2024-02-21,2024-03-03,ILI incidence,HR,quantile,0.1,3,37.11202990833565
2024-02-21,2024-03-03,ILI incidence,HR,quantile,0.15,3,43.589024907767936
2024-02-21,2024-03-03,ILI incidence,HR,quantile,0.2,3,49.15841551237531
2024-02-21,2024-03-03,ILI incidence,HR,quantile,0.25,3,54.2653835250468
2024-02-21,2024-03-03,ILI incidence,HR,quantile,0.3,3,58.76892392107757
2024-02-21,2024-03-03,ILI incidence,HR,quantile,0.35,3,63.73734987890808
2024-02-21,2024-03-03,ILI incidence,HR,quantile,0.4,3,66.91396526079527
2024-02-21,2024-03-03,ILI incidence,HR,quantile,0.45,3,70.61334599628239
2024-02-21,2024-03-03,ILI incidence,HR,quantile,0.5,3,114.5404135178623
2024-02-21,2024-03-03,ILI incidence,HR,quantile,0.55,3,195.83689129854912
2024-02-21,2024-03-03,ILI incidence,HR,quantile,0.6,3,207.2687659215608
2024-02-21,2024-03-03,ILI incidence,HR,quantile,0.65,3,220.6919516794868
2024-02-21,2024-03-03,ILI incidence,HR,quantile,0.7,3,240.73436894648188
2024-02-21,2024-03-03,ILI incidence,HR,quantile,0.75,3,263.45157148560673
2024-02-21,2024-03-03,ILI incidence,HR,quantile,0.8,3,297.4725742148237
2024-02-21,2024-03-03,ILI incidence,HR,quantile,0.85,3,348.8396579525972
2024-02-21,2024-03-03,ILI incidence,HR,quantile,0.9,3,407.6387532545068
2024-02-21,2024-03-03,ILI incidence,HR,quantile,0.95,3,527.6118625495334
2024-02-21,2024-03-03,ILI incidence,HR,quantile,0.975,3,760.0204697425385
2024-02-21,2024-03-03,ILI incidence,HR,quantile,0.99,3,1077.9355091044888
2024-02-21,2024-03-10,ILI incidence,HR,quantile,0.01,4,8.372866052122847
2024-02-21,2024-03-10,ILI incidence,HR,quantile,0.025,4,14.203331462297252
2024-02-21,2024-03-10,ILI incidence,HR,quantile,0.05,4,20.51222876852246
2024-02-21,2024-03-10,ILI incidence,HR,quantile,0.1,4,31.03095731451559
2024-02-21,2024-03-10,ILI incidence,HR,quantile,0.15,4,38.32011662654899
2024-02-21,2024-03-10,ILI incidence,HR,quantile,0.2,4,44.31867972993043
2024-02-21,2024-03-10,ILI incidence,HR,quantile,0.25,4,50.60171585258534
2024-02-21,2024-03-10,ILI incidence,HR,quantile,0.3,4,55.20500652810163
2024-02-21,2024-03-10,ILI incidence,HR,quantile,0.35,4,59.97639489682496
2024-02-21,2024-03-10,ILI incidence,HR,quantile,0.4,4,64.22440216948237
2024-02-21,2024-03-10,ILI incidence,HR,quantile,0.45,4,68.70516009427264
2024-02-21,2024-03-10,ILI incidence,HR,quantile,0.5,4,120.41459664311985
2024-02-21,2024-03-10,ILI incidence,HR,quantile,0.55,4,238.11007455656076
2024-02-21,2024-03-10,ILI incidence,HR,quantile,0.6,4,261.31125067393015
2024-02-21,2024-03-10,ILI incidence,HR,quantile,0.65,4,287.7992600745935
2024-02-21,2024-03-10,ILI incidence,HR,quantile,0.7,4,309.2418757091814
2024-02-21,2024-03-10,ILI incidence,HR,quantile,0.75,4,343.35031386856457
2024-02-21,2024-03-10,ILI incidence,HR,quantile,0.8,4,396.05786895473284
2024-02-21,2024-03-10,ILI incidence,HR,quantile,0.85,4,472.1057579555774
2024-02-21,2024-03-10,ILI incidence,HR,quantile,0.9,4,571.1639429093437
2024-02-21,2024-03-10,ILI incidence,HR,quantile,0.95,4,882.6138711014572
2024-02-21,2024-03-10,ILI incidence,HR,quantile,0.975,4,1273.0497034707457
2024-02-21,2024-03-10,ILI incidence,HR,quantile,0.99,4,2052.412244999479
2024-02-21,2024-02-18,ILI incidence,IT,quantile,0.01,1,532.0541733591788
2024-02-21,2024-02-18,ILI incidence,IT,quantile,0.025,1,564.2774164886574
2024-02-21,2024-02-18,ILI incidence,IT,quantile,0.05,1,587.3880846995871
2024-02-21,2024-02-18,ILI incidence,IT,quantile,0.1,1,613.8618963943755
2024-02-21,2024-02-18,ILI incidence,IT,quantile,0.15,1,625.8524175149851
2024-02-21,2024-02-18,ILI incidence,IT,quantile,0.2,1,636.1594572994994
2024-02-21,2024-02-18,ILI incidence,IT,quantile,0.25,1,644.1390288535838
2024-02-21,2024-02-18,ILI incidence,IT,quantile,0.3,1,650.6649455870743
2024-02-21,2024-02-18,ILI incidence,IT,quantile,0.35,1,654.8877862542845
2024-02-21,2024-02-18,ILI incidence,IT,quantile,0.4,1,660.0313678166849
2024-02-21,2024-02-18,ILI incidence,IT,quantile,0.45,1,664.5300762642534
2024-02-21,2024-02-18,ILI incidence,IT,quantile,0.5,1,700.6965659343998
2024-02-21,2024-02-18,ILI incidence,IT,quantile,0.55,1,736.7137063503488
2024-02-21,2024-02-18,ILI incidence,IT,quantile,0.6,1,741.5734441479198
2024-02-21,2024-02-18,ILI incidence,IT,quantile,0.65,1,746.641907972973
2024-02-21,2024-02-18,ILI incidence,IT,quantile,0.7,1,751.9097292088283
2024-02-21,2024-02-18,ILI incidence,IT,quantile,0.75,1,758.8769415487448
2024-02-21,2024-02-18,ILI incidence,IT,quantile,0.8,1,767.1995648370394
2024-02-21,2024-02-18,ILI incidence,IT,quantile,0.85,1,776.2706646363383
2024-02-21,2024-02-18,ILI incidence,IT,quantile,0.9,1,790.3159090792462
2024-02-21,2024-02-18,ILI incidence,IT,quantile,0.95,1,809.0356712358958
2024-02-21,2024-02-18,ILI incidence,IT,quantile,0.975,1,827.7601810023496
2024-02-21,2024-02-18,ILI incidence,IT,quantile,0.99,1,858.5908088029752
2024-02-21,2024-02-25,ILI incidence,IT,quantile,0.01,2,418.6444266622661
2024-02-21,2024-02-25,ILI incidence,IT,quantile,0.025,2,445.38492320502706
2024-02-21,2024-02-25,ILI incidence,IT,quantile,0.05,2,461.4101108406948
2024-02-21,2024-02-25,ILI incidence,IT,quantile,0.1,2,489.0846669066833
2024-02-21,2024-02-25,ILI incidence,IT,quantile,0.15,2,500.74222232635543
2024-02-21,2024-02-25,ILI incidence,IT,quantile,0.2,2,513.422813807133
2024-02-21,2024-02-25,ILI incidence,IT,quantile,0.25,2,522.5708881867247
2024-02-21,2024-02-25,ILI incidence,IT,quantile,0.3,2,531.9731812459672
2024-02-21,2024-02-25,ILI incidence,IT,quantile,0.35,2,538.1384062372638
2024-02-21,2024-02-25,ILI incidence,IT,quantile,0.4,2,544.5600443589652
2024-02-21,2024-02-25,ILI incidence,IT,quantile,0.45,2,549.856562258526
2024-02-21,2024-02-25,ILI incidence,IT,quantile,0.5,2,591.4027901529796
2024-02-21,2024-02-25,ILI incidence,IT,quantile,0.55,2,632.7004964995472
2024-02-21,2024-02-25,ILI incidence,IT,quantile,0.6,2,638.0088728733746
2024-02-21,2024-02-25,ILI incidence,IT,quantile,0.65,2,643.5364833177179
2024-02-21,2024-02-25,ILI incidence,IT,quantile,0.7,2,650.0816436962815
2024-02-21,2024-02-25,ILI incidence,IT,quantile,0.75,2,657.4796013986146
2024-02-21,2024-02-25,ILI incidence,IT,quantile,0.8,2,664.3723290158247
2024-02-21,2024-02-25,ILI incidence,IT,quantile,0.85,2,673.072018025016
2024-02-21,2024-02-25,ILI incidence,IT,quantile,0.9,2,686.0702984534051
2024-02-21,2024-02-25,ILI incidence,IT,quantile,0.95,2,711.399830682932
2024-02-21,2024-02-25,ILI incidence,IT,quantile,0.975,2,737.1209246686244
2024-02-21,2024-02-25,ILI incidence,IT,quantile,0.99,2,768.1461242893693
2024-02-21,2024-03-03,ILI incidence,IT,quantile,0.01,3,310.90722544180034
2024-02-21,2024-03-03,ILI incidence,IT,quantile,0.025,3,332.48695196462086
2024-02-21,2024-03-03,ILI incidence,IT,quantile,0.05,3,359.4222524328694
2024-02-21,2024-03-03,ILI incidence,IT,quantile,0.1,3,381.9646634009638
2024-02-21,2024-03-03,ILI incidence,IT,quantile,0.15,3,394.96328143716136
2024-02-21,2024-03-03,ILI incidence,IT,quantile,0.2,3,404.53754347375747
2024-02-21,2024-03-03,ILI incidence,IT,quantile,0.25,3,413.80061551305175
2024-02-21,2024-03-03,ILI incidence,IT,quantile,0.3,3,421.76026820644637
2024-02-21,2024-03-03,ILI incidence,IT,quantile,0.35,3,428.5480419962506
2024-02-21,2024-03-03,ILI incidence,IT,quantile,0.4,3,434.52488183051497
2024-02-21,2024-03-03,ILI incidence,IT,quantile,0.45,3,439.22434032109476
2024-02-21,2024-03-03,ILI incidence,IT,quantile,0.5,3,482.3731924815552
2024-02-21,2024-03-03,ILI incidence,IT,quantile,0.55,3,523.523279813943
2024-02-21,2024-03-03,ILI incidence,IT,quantile,0.6,3,529.7080016561689
2024-02-21,2024-03-03,ILI incidence,IT,quantile,0.65,3,534.3605748623708
2024-02-21,2024-03-03,ILI incidence,IT,quantile,0.7,3,540.7839010231137
2024-02-21,2024-03-03,ILI incidence,IT,quantile,0.75,3,548.9775159276611
2024-02-21,2024-03-03,ILI incidence,IT,quantile,0.8,3,557.8913326892676
2024-02-21,2024-03-03,ILI incidence,IT,quantile,0.85,3,569.3535397908614
2024-02-21,2024-03-03,ILI incidence,IT,quantile,0.9,3,584.245167009181
2024-02-21,2024-03-03,ILI incidence,IT,quantile,0.95,3,614.215160764787
2024-02-21,2024-03-03,ILI incidence,IT,quantile,0.975,3,642.1267386126912
2024-02-21,2024-03-03,ILI incidence,IT,quantile,0.99,3,669.8595024849268
2024-02-21,2024-03-10,ILI incidence,IT,quantile,0.01,4,221.95284307637954
2024-02-21,2024-03-10,ILI incidence,IT,quantile,0.025,4,250.39955462102716
2024-02-21,2024-03-10,ILI incidence,IT,quantile,0.05,4,273.44557093666725
2024-02-21,2024-03-10,ILI incidence,IT,quantile,0.1,4,291.0308442544958
2024-02-21,2024-03-10,ILI incidence,IT,quantile,0.15,4,304.4029409286267
2024-02-21,2024-03-10,ILI incidence,IT,quantile,0.2,4,311.9599119086698
2024-02-21,2024-03-10,ILI incidence,IT,quantile,0.25,4,319.9165261317896
2024-02-21,2024-03-10,ILI incidence,IT,quantile,0.3,4,327.9342473682121
2024-02-21,2024-03-10,ILI incidence,IT,quantile,0.35,4,334.0698894753062
2024-02-21,2024-03-10,ILI incidence,IT,quantile,0.4,4,338.8542563296737
2024-02-21,2024-03-10,ILI incidence,IT,quantile,0.45,4,342.9434887067487
2024-02-21,2024-03-10,ILI incidence,IT,quantile,0.5,4,384.28124377957613
2024-02-21,2024-03-10,ILI incidence,IT,quantile,0.55,4,422.3807491571283
2024-02-21,2024-03-10,ILI incidence,IT,quantile,0.6,4,428.54010821275557
2024-02-21,2024-03-10,ILI incidence,IT,quantile,0.65,4,433.4782554238045
2024-02-21,2024-03-10,ILI incidence,IT,quantile,0.7,4,439.49809805265113
2024-02-21,2024-03-10,ILI incidence,IT,quantile,0.75,4,445.8701922284843
2024-02-21,2024-03-10,ILI incidence,IT,quantile,0.8,4,456.11810844556993
2024-02-21,2024-03-10,ILI incidence,IT,quantile,0.85,4,469.0381482643853
2024-02-21,2024-03-10,ILI incidence,IT,quantile,0.9,4,482.4772600884641
2024-02-21,2024-03-10,ILI incidence,IT,quantile,0.95,4,514.6267232515359
2024-02-21,2024-03-10,ILI incidence,IT,quantile,0.975,4,530.4763970278628
2024-02-21,2024-03-10,ILI incidence,IT,quantile,0.99,4,565.1910296389946
2024-02-21,2024-02-18,ILI incidence,HU,quantile,0.01,1,243.50639519890453
2024-02-21,2024-02-18,ILI incidence,HU,quantile,0.025,1,324.4967910717684
2024-02-21,2024-02-18,ILI incidence,HU,quantile,0.05,1,388.25863685536154
2024-02-21,2024-02-18,ILI incidence,HU,quantile,0.1,1,450.6099208798054
2024-02-21,2024-02-18,ILI incidence,HU,quantile,0.15,1,502.86185562933224
2024-02-21,2024-02-18,ILI incidence,HU,quantile,0.2,1,528.3011444950783
2024-02-21,2024-02-18,ILI incidence,HU,quantile,0.25,1,556.479938173702
2024-02-21,2024-02-18,ILI incidence,HU,quantile,0.3,1,576.8135521861249
2024-02-21,2024-02-18,ILI incidence,HU,quantile,0.35,1,592.4645182632281
2024-02-21,2024-02-18,ILI incidence,HU,quantile,0.4,1,611.671691151935
2024-02-21,2024-02-18,ILI incidence,HU,quantile,0.45,1,623.4523342640783
2024-02-21,2024-02-18,ILI incidence,HU,quantile,0.5,1,749.970339196011
2024-02-21,2024-02-18,ILI incidence,HU,quantile,0.55,1,891.9183990086701
2024-02-21,2024-02-18,ILI incidence,HU,quantile,0.6,1,907.4475807082835
2024-02-21,2024-02-18,ILI incidence,HU,quantile,0.65,1,928.3648843269841
2024-02-21,2024-02-18,ILI incidence,HU,quantile,0.7,1,953.8785826749597
2024-02-21,2024-02-18,ILI incidence,HU,quantile,0.75,1,980.6088374365486
2024-02-21,2024-02-18,ILI incidence,HU,quantile,0.8,1,1015.4654315688176
2024-02-21,2024-02-18,ILI incidence,HU,quantile,0.85,1,1056.5543991503828
2024-02-21,2024-02-18,ILI incidence,HU,quantile,0.9,1,1134.1637465879778
2024-02-21,2024-02-18,ILI incidence,HU,quantile,0.95,1,1246.156969094266
2024-02-21,2024-02-18,ILI incidence,HU,quantile,0.975,1,1327.2849323939647
2024-02-21,2024-02-18,ILI incidence,HU,quantile,0.99,1,1758.5079132553308
2024-02-21,2024-02-25,ILI incidence,HU,quantile,0.01,2,252.07357856776215
2024-02-21,2024-02-25,ILI incidence,HU,quantile,0.025,2,344.14578635322886
2024-02-21,2024-02-25,ILI incidence,HU,quantile,0.05,2,408.4066133705961
2024-02-21,2024-02-25,ILI incidence,HU,quantile,0.1,2,491.81629581049384
2024-02-21,2024-02-25,ILI incidence,HU,quantile,0.15,2,536.6597238414366
2024-02-21,2024-02-25,ILI incidence,HU,quantile,0.2,2,576.9850287091865
2024-02-21,2024-02-25,ILI incidence,HU,quantile,0.25,2,609.4986253041262
2024-02-21,2024-02-25,ILI incidence,HU,quantile,0.3,2,632.0202385552552
2024-02-21,2024-02-25,ILI incidence,HU,quantile,0.35,2,659.4670386076559
2024-02-21,2024-02-25,ILI incidence,HU,quantile,0.4,2,684.9585943415425
2024-02-21,2024-02-25,ILI incidence,HU,quantile,0.45,2,705.1086306348318
2024-02-21,2024-02-25,ILI incidence,HU,quantile,0.5,2,901.7656829441315
2024-02-21,2024-02-25,ILI incidence,HU,quantile,0.55,2,1139.0788919712325
2024-02-21,2024-02-25,ILI incidence,HU,quantile,0.6,2,1169.0270349989248
2024-02-21,2024-02-25,ILI incidence,HU,quantile,0.65,2,1194.105347760568
2024-02-21,2024-02-25,ILI incidence,HU,quantile,0.7,2,1237.1969345559075
2024-02-21,2024-02-25,ILI incidence,HU,quantile,0.75,2,1282.5246679019842
2024-02-21,2024-02-25,ILI incidence,HU,quantile,0.8,2,1346.6138896601612
2024-02-21,2024-02-25,ILI incidence,HU,quantile,0.85,2,1415.6028084661823
2024-02-21,2024-02-25,ILI incidence,HU,quantile,0.9,2,1520.0425673732805
2024-02-21,2024-02-25,ILI incidence,HU,quantile,0.95,2,1721.6214593445127
2024-02-21,2024-02-25,ILI incidence,HU,quantile,0.975,2,1948.3595103660389
2024-02-21,2024-02-25,ILI incidence,HU,quantile,0.99,2,2337.188860225933
2024-02-21,2024-03-03,ILI incidence,HU,quantile,0.01,3,274.24358770493757
2024-02-21,2024-03-03,ILI incidence,HU,quantile,0.025,3,345.1346085556589
2024-02-21,2024-03-03,ILI incidence,HU,quantile,0.05,3,399.84437346907
2024-02-21,2024-03-03,ILI incidence,HU,quantile,0.1,3,489.42386359984937
2024-02-21,2024-03-03,ILI incidence,HU,quantile,0.15,3,539.9041317499957
2024-02-21,2024-03-03,ILI incidence,HU,quantile,0.2,3,610.0557952679483
2024-02-21,2024-03-03,ILI incidence,HU,quantile,0.25,3,642.0379691247508
2024-02-21,2024-03-03,ILI incidence,HU,quantile,0.3,3,675.8018509989511
2024-02-21,2024-03-03,ILI incidence,HU,quantile,0.35,3,709.0852896418705
2024-02-21,2024-03-03,ILI incidence,HU,quantile,0.4,3,742.2986958309269
2024-02-21,2024-03-03,ILI incidence,HU,quantile,0.45,3,763.5144097953157
2024-02-21,2024-03-03,ILI incidence,HU,quantile,0.5,3,1025.707677946286
2024-02-21,2024-03-03,ILI incidence,HU,quantile,0.55,3,1389.8772104508196
2024-02-21,2024-03-03,ILI incidence,HU,quantile,0.6,3,1429.6280947135383
2024-02-21,2024-03-03,ILI incidence,HU,quantile,0.65,3,1470.2415110367028
2024-02-21,2024-03-03,ILI incidence,HU,quantile,0.7,3,1528.2095873605429
2024-02-21,2024-03-03,ILI incidence,HU,quantile,0.75,3,1603.3762954974075
2024-02-21,2024-03-03,ILI incidence,HU,quantile,0.8,3,1686.4937469257814
2024-02-21,2024-03-03,ILI incidence,HU,quantile,0.85,3,1782.0602394450793
2024-02-21,2024-03-03,ILI incidence,HU,quantile,0.9,3,1913.5755234102012
2024-02-21,2024-03-03,ILI incidence,HU,quantile,0.95,3,2247.427955142977
2024-02-21,2024-03-03,ILI incidence,HU,quantile,0.975,3,2527.3228271607277
2024-02-21,2024-03-03,ILI incidence,HU,quantile,0.99,3,3008.160892147549
2024-02-21,2024-03-10,ILI incidence,HU,quantile,0.01,4,237.07401730048784
2024-02-21,2024-03-10,ILI incidence,HU,quantile,0.025,4,302.1812843622474
2024-02-21,2024-03-10,ILI incidence,HU,quantile,0.05,4,373.3957933564743
2024-02-21,2024-03-10,ILI incidence,HU,quantile,0.1,4,477.74183236207926
2024-02-21,2024-03-10,ILI incidence,HU,quantile,0.15,4,532.7474328986102
2024-02-21,2024-03-10,ILI incidence,HU,quantile,0.2,4,593.953480324588
2024-02-21,2024-03-10,ILI incidence,HU,quantile,0.25,4,641.6466112943398
2024-02-21,2024-03-10,ILI incidence,HU,quantile,0.3,4,687.3067413240088
2024-02-21,2024-03-10,ILI incidence,HU,quantile,0.35,4,724.4329534004052
2024-02-21,2024-03-10,ILI incidence,HU,quantile,0.4,4,760.4144438228493
2024-02-21,2024-03-10,ILI incidence,HU,quantile,0.45,4,802.1218597653666
2024-02-21,2024-03-10,ILI incidence,HU,quantile,0.5,4,1137.1880157169305
2024-02-21,2024-03-10,ILI incidence,HU,quantile,0.55,4,1560.3485618217667
2024-02-21,2024-03-10,ILI incidence,HU,quantile,0.6,4,1623.0124171660254
2024-02-21,2024-03-10,ILI incidence,HU,quantile,0.65,4,1696.4731141290063
2024-02-21,2024-03-10,ILI incidence,HU,quantile,0.7,4,1760.2507944563954
2024-02-21,2024-03-10,ILI incidence,HU,quantile,0.75,4,1826.1219817042272
2024-02-21,2024-03-10,ILI incidence,HU,quantile,0.8,4,1935.7258616669537
2024-02-21,2024-03-10,ILI incidence,HU,quantile,0.85,4,2059.429179887009
2024-02-21,2024-03-10,ILI incidence,HU,quantile,0.9,4,2215.3659648865514
2024-02-21,2024-03-10,ILI incidence,HU,quantile,0.95,4,2536.470172765944
2024-02-21,2024-03-10,ILI incidence,HU,quantile,0.975,4,3005.87428103447
2024-02-21,2024-03-10,ILI incidence,HU,quantile,0.99,4,3457.2509028007207
2024-02-21,2024-02-18,ILI incidence,NL,quantile,0.01,1,23.977619083316267
2024-02-21,2024-02-18,ILI incidence,NL,quantile,0.025,1,29.098251392322208
2024-02-21,2024-02-18,ILI incidence,NL,quantile,0.05,1,35.03660445250563
2024-02-21,2024-02-18,ILI incidence,NL,quantile,0.1,1,39.69872405508586
2024-02-21,2024-02-18,ILI incidence,NL,quantile,0.15,1,43.40422208224849
2024-02-21,2024-02-18,ILI incidence,NL,quantile,0.2,1,46.38464752216014
2024-02-21,2024-02-18,ILI incidence,NL,quantile,0.25,1,49.677328414343386
2024-02-21,2024-02-18,ILI incidence,NL,quantile,0.3,1,52.05438375800837
2024-02-21,2024-02-18,ILI incidence,NL,quantile,0.35,1,54.35244675715999
2024-02-21,2024-02-18,ILI incidence,NL,quantile,0.4,1,55.81630488839481
2024-02-21,2024-02-18,ILI incidence,NL,quantile,0.45,1,57.76440180425943
2024-02-21,2024-02-18,ILI incidence,NL,quantile,0.5,1,76.15261972325425
2024-02-21,2024-02-18,ILI incidence,NL,quantile,0.55,1,99.2380966964573
2024-02-21,2024-02-18,ILI incidence,NL,quantile,0.6,1,102.41178912032296
2024-02-21,2024-02-18,ILI incidence,NL,quantile,0.65,1,106.28641361385776
2024-02-21,2024-02-18,ILI incidence,NL,quantile,0.7,1,110.34702008308223
2024-02-21,2024-02-18,ILI incidence,NL,quantile,0.75,1,115.6923591862183
2024-02-21,2024-02-18,ILI incidence,NL,quantile,0.8,1,122.46241735658077
2024-02-21,2024-02-18,ILI incidence,NL,quantile,0.85,1,130.98016329388878
2024-02-21,2024-02-18,ILI incidence,NL,quantile,0.9,1,140.0889948037036
2024-02-21,2024-02-18,ILI incidence,NL,quantile,0.95,1,156.62153542148144
2024-02-21,2024-02-18,ILI incidence,NL,quantile,0.975,1,171.8647009981204
2024-02-21,2024-02-18,ILI incidence,NL,quantile,0.99,1,194.74421221806162
2024-02-21,2024-02-25,ILI incidence,NL,quantile,0.01,2,23.35756488971126
2024-02-21,2024-02-25,ILI incidence,NL,quantile,0.025,2,28.510308372400026
2024-02-21,2024-02-25,ILI incidence,NL,quantile,0.05,2,34.40095177061698
2024-02-21,2024-02-25,ILI incidence,NL,quantile,0.1,2,39.50817109381857
2024-02-21,2024-02-25,ILI incidence,NL,quantile,0.15,2,43.27494889638125
2024-02-21,2024-02-25,ILI incidence,NL,quantile,0.2,2,47.29770189129099
2024-02-21,2024-02-25,ILI incidence,NL,quantile,0.25,2,49.836598693063806
2024-02-21,2024-02-25,ILI incidence,NL,quantile,0.3,2,52.6683242584033
2024-02-21,2024-02-25,ILI incidence,NL,quantile,0.35,2,55.7438833356493
2024-02-21,2024-02-25,ILI incidence,NL,quantile,0.4,2,57.76468749085803
2024-02-21,2024-02-25,ILI incidence,NL,quantile,0.45,2,59.77192153263318
2024-02-21,2024-02-25,ILI incidence,NL,quantile,0.5,2,78.64666372904661
2024-02-21,2024-02-25,ILI incidence,NL,quantile,0.55,2,105.67204458356494
2024-02-21,2024-02-25,ILI incidence,NL,quantile,0.6,2,109.750506465202
2024-02-21,2024-02-25,ILI incidence,NL,quantile,0.65,2,113.48914413780243
2024-02-21,2024-02-25,ILI incidence,NL,quantile,0.7,2,118.86962269256648
2024-02-21,2024-02-25,ILI incidence,NL,quantile,0.75,2,124.51650400052657
2024-02-21,2024-02-25,ILI incidence,NL,quantile,0.8,2,132.36145799812772
2024-02-21,2024-02-25,ILI incidence,NL,quantile,0.85,2,142.0038092308311
2024-02-21,2024-02-25,ILI incidence,NL,quantile,0.9,2,155.7806169184975
2024-02-21,2024-02-25,ILI incidence,NL,quantile,0.95,2,184.55868505543694
2024-02-21,2024-02-25,ILI incidence,NL,quantile,0.975,2,215.80887075172603
2024-02-21,2024-02-25,ILI incidence,NL,quantile,0.99,2,262.34068972515576
2024-02-21,2024-03-03,ILI incidence,NL,quantile,0.01,3,22.442824969648658
2024-02-21,2024-03-03,ILI incidence,NL,quantile,0.025,3,28.817492887546443
2024-02-21,2024-03-03,ILI incidence,NL,quantile,0.05,3,31.920049348360294
2024-02-21,2024-03-03,ILI incidence,NL,quantile,0.1,3,39.04221625149928
2024-02-21,2024-03-03,ILI incidence,NL,quantile,0.15,3,43.06439787321183
2024-02-21,2024-03-03,ILI incidence,NL,quantile,0.2,3,47.211995911710495
2024-02-21,2024-03-03,ILI incidence,NL,quantile,0.25,3,49.878023249861045
2024-02-21,2024-03-03,ILI incidence,NL,quantile,0.3,3,52.16065917268818
2024-02-21,2024-03-03,ILI incidence,NL,quantile,0.35,3,54.79840353757716
2024-02-21,2024-03-03,ILI incidence,NL,quantile,0.4,3,57.34987054968844
