location,truth_date,year_week,value
CH,2023-07-30,2023-W30,7.1186352928994845
CH,2023-08-06,2023-W31,7.308231992516371
CH,2023-08-13,2023-W32,13.236601092965063
CH,2023-08-20,2023-W33,17.589450868691912
CH,2023-08-27,2023-W34,17.157440967679673
CH,2023-09-03,2023-W35,23.70272047974306
CH,2023-09-10,2023-W36,33.399336784598134
CH,2023-09-17,2023-W37,26.390949663662006
CH,2023-09-24,2023-W38,28.139173039361737
CH,2023-10-01,2023-W39,27.157549208298402
CH,2023-10-08,2023-W40,31.82483610209408
CH,2023-10-15,2023-W41,36.74167590227919
CH,2023-10-22,2023-W42,48.47388945774602
CH,2023-10-29,2023-W43,64.41112702219309
CH,2023-11-05,2023-W44,50.92668376348193
CH,2023-11-12,2023-W45,70.40465363218762
CH,2023-11-19,2023-W46,72.96811854512796
CH,2023-11-26,2023-W47,74.45764375401902
CH,2023-12-03,2023-W48,89.91103539655498
CH,2023-12-10,2023-W49,77.47328973208654
CH,2023-12-17,2023-W50,91.03777512559327
CH,2023-12-24,2023-W51,93.51284602750236
CH,2023-12-31,2023-W52,76.1133743307645
CH,2024-01-07,2024-W01,68.41785629175219
CH,2024-01-14,2024-W02,106.9409208295885
CH,2024-01-21,2024-W03,126.551834715287
CH,2024-01-28,2024-W04,133.67274587067453
CH,2024-02-04,2024-W05,155.0839552238806
CH,2024-02-11,2024-W06,148.67854509122915
CH,2024-02-18,2024-W07,87.23843936000397
CH,2024-02-25,2024-W08,103.2365243703462
CH,2024-03-03,2024-W09,76.08837608099438
CH,2024-03-10,2024-W10,71.13434465417129
CH,2024-03-17,2024-W11,54.86059123716348
CH,2024-03-24,2024-W12,46.36525387874327
CH,2024-03-31,2024-W13,43.92232958791677
CH,2024-04-07,2024-W14,46.07251345083126
CH,2024-04-14,2024-W15,27.913792902918154
CH,2024-04-21,2024-W16,31.725416520019234
CH,2024-04-28,2024-W17,26.702968741818943
GB-ENG,2023-10-08,2023-W40,3.506030313114478
GB-ENG,2023-10-15,2023-W41,3.23764738888748
GB-ENG,2023-10-22,2023-W42,3.5018371152663113
GB-ENG,2023-10-29,2023-W43,3.200426886767918
GB-ENG,2023-11-05,2023-W44,3.308038195259563
GB-ENG,2023-11-12,2023-W45,3.817564730621167
GB-ENG,2023-11-19,2023-W46,3.396232878085079
GB-ENG,2023-11-26,2023-W47,3.8100488699218604
GB-ENG,2023-12-03,2023-W48,4.618276281237817
GB-ENG,2023-12-10,2023-W49,5.334371757702166
GB-ENG,2023-12-17,2023-W50,6.335146106447332
GB-ENG,2023-12-24,2023-W51,7.674647437230564
